impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K19-117280,A585073,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1992721,LOST,Letche,Cat,Under 1 year,Male,Domestic Mediumhair,Unknown,5/12/19 0:00,Date Lost,COOPERS CORNER,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1992721,Image Copyright HLP Inc. 2019,Description: All white cat with large brown/tan spot on top of head.  3 dark spots going down the tail.  Blue eyes.  No collar.<p/>Age: Under 1 year<p/>Location Lost: Coopers Corner<p/>Notes: <p/>Lost Date: 05/12/2019<p/>,
K17-102943,A538943,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Anastasia,Cat,9 YEARS 7 MONTHS,Spayed Female,Domestic Longhair,Black,9/17/17 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A538943,Image Copyright HLP Inc. 2019,"Received on: 2017-09-17<p/> Description: Black Spayed Female Domestic Longhair Cat<p/> Age: 9 YEARS 7 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Anastasia and I am available for adoption.<p/><p/>I was brought in by a good samaritan on September 17, 2017.<p/><p/>I am an independent kitty who likes to do my own thing! I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>My caregivers have noticed that I do not seem to get along with other cats, so I may do best as the only cat in my new home.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)   Renal disease.  Anastasia has been documented to have renal insufficiency characterized by increased renal values and the inability to concentrate urine.  She has increase thirst and increased urine production.  Renal disease is generally progressive and must be managed to maintain a good quality of life.  Your veterinarian may recommend additional testing, medications, prescription diets, or supplemental care as needed.<p/><p/>2)  Old fracture of left femoral head and left ilium.  Spondylosis in thoracolumbar area.  She has had some stiffness in the hind end.  These chronic changes can be managed with pain medication and joint supplements.  Treatment is focused on lifelong management of the disease, rather than a cure.  Treatment may include weight loss plans, daily medications, nutritional supplements or regular, moderate exercise.  Please follow up with your regular veterinarian.<p/><p/>3)  Radiographic evidence of bronchopulmonary disease/asthma.  No respiratoyr signs have been noted but she may need treatment in the future.<p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/>",
K17-104325,A533907,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Hera,Cat,11 YEARS -1 MONTHS,Spayed Female,Domestic Shorthair,Calico,10/28/17 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,SEATTLE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A533907,Image Copyright HLP Inc. 2019,"Received on: 2017-10-28<p/> Description: Calico Spayed Female Domestic Shorthair Cat<p/> Age: 11 YEARS -1 MONTHS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/>My name is Hera and I am an 11 year old calico, short haired, spayed female cat. I ended up at the shelter through no fault of my own and now I am looking for a forever home.<p/><p/>I am a very sweet and friendly girl.  I love, love, love attention and will come to seek you out.  I get along well with other cats, even when they get in my face, I still stay chill. I love to be petted and brushed too.<p/><p/>I am litterbox trained, have all my vaccinations and I'm microchipped, so I will not get lost again.  I am an easy going girl who really just wants to find my forever friend.  Please come to see me, you won't be disappointed.<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     Hera has been diagnosed with hyperthyroidism; excess production of thyroid hormone.  Hyperthyroidism can cause weight loss, vocalization, increased urine production and heart disease.  This condition is being managed with daily medication.  Other treatment options may be available, including radioactive iodine treatment or prescription diet.  Periodic blood testing to monitor thyroid levels is needed.  Please follow up with you regular veterinarian to create a treatment plan.  An educational handout is provided.<p/><p/>2)     Hera has had mild recurring upper respiratory infections.<p/><p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/>",
K17-105331,A547918,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Babette,Cat,18 YEARS 5 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby,12/4/17 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A547918,Image Copyright HLP Inc. 2019,"Received on: 2017-12-04<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 18 YEARS 5 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Babette and I am available for adoption.<p/><p/>I was brought in by my previous owner on 12/5/17 because the landlord didn't allow cats. I lived in a home with dogs but the were not my favorite. I also lived with other cats and children. My previous owner described me as calm and vocal.<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/><p/>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     This animal has been diagnosed as hyperthyroid.  This means that thyroid gland is producing an excess of hormones.  This disease can be easily managed with daily medication, radioactive iodine treatment or prescription diet.  Please follow up with you regular veterinarian to create a treatment plan.  We have also included a handout with more information about this disease.<p/><p/>2)  This animal has been diagnosed with early kidney disease.  This condition can be managed with special diets and medications.  Treatment will be lifelong.  Please follow up with your regular veterinarian for the best treatment plan.  <p/><p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/><p/>",BLUE
K18-106401,A551273,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Midnight,Cat,13 YEARS 3 MONTHS,Spayed Female,Domestic Shorthair,Black,2/3/18 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A551273,Image Copyright HLP Inc. 2019,"Received on: 2018-02-03<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 13 YEARS 3 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Midnight and I am available for adoption.<p/><p/>I was brought in by my previous owner on  2/3/18.<p/><p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/><p/>My caregivers have noticed that I seem to do well with other cats. When meeting cats in a new home, I would do best with a slow introduction.<p/><p/><p/><p/><p/>",GREEN
K18-109705,A561461,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Baby Girl,Cat,14 YEARS 10 MONTHS,Spayed Female,Domestic Shorthair,Seal Pt,6/26/18 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,COVINGTON,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A561461,Image Copyright HLP Inc. 2019,"Received on: 2018-06-26<p/> Description: Seal Pt Spayed Female Domestic Shorthair Cat<p/> Age: 14 YEARS 10 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Baby Girl and I am available for adoption.<p/><p/>I was brought in by my previous owner on 6/26/18 because they couldnt take care of me anymore. My previous owner described me as friendly, active, playful and vocal.<p/><p/>I do love to talk! I would love to tell you all about how my day is going!<p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/><p/>",GREEN
K18-110899,A564655,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Checkers,Cat,14 YEARS 9 MONTHS,Spayed Female,Domestic Shorthair,Black / White,8/2/18 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A564655,Image Copyright HLP Inc. 2019,"Received on: 2018-08-02<p/> Description: Black / White Spayed Female Domestic Shorthair Cat<p/> Age: 14 YEARS 9 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Checkers and I am available for adoption.<p/><p/>I was brought in by my previous owner on August 2nd, 2018 because they were moving and could not keep me. My previous owner described me as friendly and sweet. They also said that I like to hang out in windows and watch birds, lay on your lap and that I'm not a big fan of being picked up. <p/><p/>My personality color is red.  I enjoy getting pets on the head most and I like sitting on your lap after I get to know you!  <p/><p/>My caregivers have noticed I do not like other cats.  I prefer to be the only princess in the house!<p/><p/>",RED
K18-111651,A566749,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Rosie,Cat,13 YEARS 8 MONTHS,Female,Domestic Shorthair,Calico / Tortie,8/27/18 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A566749,Image Copyright HLP Inc. 2019,"Received on: 2018-08-27<p/> Description: Calico / Tortie Female Domestic Shorthair Cat<p/> Age: 13 YEARS 8 MONTHS<p/> Adoption Fee: $30.0<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is Rosie and I am available for adoption.<p/><p/>I was brought in by a good samaritan on 8/27/18.<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/><p/>",GREEN
K19-114789,A578201,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Karl,Cat,12 YEARS 4 MONTHS,Male,Domestic Longhair,Brn Tabby,1/11/19 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,TUKWILA,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A578201,Image Copyright HLP Inc. 2019,"Received on: 2019-01-11<p/> Description: Brn Tabby Male Domestic Longhair Cat<p/> Age: 12 YEARS 4 MONTHS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/>Karl is a big guy with a matching cattitude. He would be best as the only pet in the house unless he could get a proper (and long) introduction, as he thinks he is the alpha male. In foster care he tolerates three other cats that are all submissive. He was traumatized by the death of his owner when he was brought in to RASKC, and after two months in foster care he has settled down quite a bit. Sometimes he will jump up on your lap, headbutt you and purr, and a few minutes later hiss and jump down. At this time he needs a forever home with lots of attention so he can settle into being a happy cat all of the time. Note that it has taken several weeks to get to where he is now and will likely regress some when he moves. It will require some patience but it will be well worth it as he can be a big, loving and cuddly kitty. He'll even sleep under the covers with you.<p/><p/>Karl is not a picky eater and is 100% when it comes to the litter box. He marks his ""territory"" with a headbutt only and does not spray (whew!). He loves his cardboard scratching post and is absolutely crazy about catnip and his catnip banana. A laser pointer is a must as is a feather on a string for play. He is an exclusively inside cat but does like to spend some time in the catio to get away.<p/><p/>You can meet Karl at his foster home and have any of your questions answered.<p/>",RED
K19-115007,A578798,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Mcgonagall,Cat,9 MONTHS,Spayed Female,Domestic Shorthair,Brn Tabby / White,1/22/19 0:00,Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A578798,Image Copyright HLP Inc. 2019,"Received on: 2019-01-22<p/> Description: Brn Tabby / White Spayed Female Domestic Shorthair Cat<p/> Age: 9 MONTHS<p/> Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/> Current Location: In RASKC Foster Home <p/>McGonagall is still very timid to strangers. However once she gets to know you she will beg you for attention. Definitely shows her age in the amount of energy she has. She plays with many things whether intended for her or not ??. Her sweet spot is right behind her ears and her jaw line especially, pet there a few times and she will literally melt in your hands!<p/><p/>Please contact the foster mom Casey at 505-577-2119<p/>",BLUE
